drug_name,mode-of-action,target_proteins,reference
Ibrutinib,BTKi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ARAF,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CCNE1,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CLK2,CSF1R,CSNK1D,CSNK1E,CSNK1G3,CYP2B6,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EIF4EBP1,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FLT1,FLT3,GSK3B,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP2K7,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,MET,NAT10,NEK2,NEK7,NLK,NTRK1,PAK4,PDGFRB,PEBP1,PIM1,PKMYT1,PLK1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMAD3,SMC1A,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TDP1,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TTK,TYK2,WEE1,YES1",CHEMBL
Imatinib,BCRi_ABLi,"ABCB1,ABCB11,ABCG2,ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,ADORA2A,AGTR2,AKT1,AKT2,AKT3,ALK,APEX1,ARAF,AURKA,AURKB,AXL,BCR,BDKRB2,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CCNA1,CCNA2,CCNB1,CCNE1,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,CYP2B6,CYP2D6,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX6,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,ELANE,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,ESR1,ESR2,FEN1,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GSK3B,HDAC1,HDAC2,HDAC7,HDAC8,HIPK2,HMGCR,IDH1,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,LATS1,LATS2,LCK,LMNA,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MET,MTOR,MYO3B,MYT1,NAT10,NEK2,NEK4,NEK6,NEK7,NLK,NPM1,NTRK1,NTRK2,NTRK3,OPRK1,PAK1,PAK3,PAK4,PBK,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,POLI,POLK,PRKAA1,PRKAA2,PRKAB1,PRKAG2,PRKAR2A,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PTK2B,PTK6,PTPRC,RAD52,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SFN,SGK1,SGK2,SGK3,SMAD3,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TDP1,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TTK,TYK2,TYRO3,VRK1,WEE1,YES1",CHEMBL
K858,KIF11i,"APEX1,BLM,CBFB,IDH1,KIF11,LMNA,MBNL1,POLB,RECQL,RUNX1,TDP1",CHEMBL
LY2228820_Ralimetinib,MAPKi,"MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9",CHEMBL
LY2584702,p70S6Ki,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ARAF,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,FES,FGFR1,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MET,NAT10,NEK2,NLK,NTRK1,PAK4,PDGFRB,PEBP1,PIM1,PIM2,PKMYT1,PLK4,PRKAA1,PRKAG2,PRKCD,PRKCI,PRKCQ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,RPS6KB2,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2B,TYK2,WEE1,YES1",CHEMBL
LY2603618,CHK1i,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ARAF,ATR,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CLK2,CLK3,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,FES,FGFR1,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,JAK2,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,MET,NAT10,NEK2,NEK7,NLK,NTRK1,PAK4,PDGFRB,PEBP1,PIM1,PIM2,PKMYT1,PLK1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKCZ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC1A,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TYK2,WEE1,YES1",CHEMBL
LY2606368_Prexasertib,CHK1i,"CDK1,CDK2,CHEK1,CHEK2,FLT3,LCK,LYN,PIM1,PIM3,PRKAA1,PRKAB1,RPS6KA1,RPS6KB1",CHEMBL
LY2857785,CDK9i,"CCNC,CCNH,CDK7,CDK8,CDK9,MNAT1",CHEMBL
Lapatinib,ERBB1i_ERBB2i,"ABCB11,ABL1,ABL2,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,ATR,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CCNE1,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,CYP2D6,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GSK3B,HDAC1,HDAC2,HDAC7,HDAC8,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,KMT2A,LATS1,LATS2,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MEN1,MET,MTOR,MYO3B,MYT1,NAT10,NEK2,NEK4,NEK6,NEK7,NLK,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PBK,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK2,SGK3,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TTK,TYK2,TYRO3,WEE1,YES1",CHEMBL
Lomustine,Cytostatic_Intercalator,"ABCB11,ADORA2A,AGTR2,BDKRB2,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,HMGCR,LCK,MAPK1,MAPK14,MAPK3,OPRK1,PTPRC,TDP1",CHEMBL
M3541,ATMi,ATM,CHEMBL
M3814,DNAPKi,PRKDC,CHEMBL
M4076,ATMi,ATM,CHEMBL
MK4827_Niraparib,PARPi,"PARP1,PARP2,PARP3,PARP4,TNKS,TNKS2",CHEMBL
ML167,CDKi_CLK4i,"CDK1,CDK12,CDK2,CDK20,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CLK2,CLK3",CHEMBL
Melphalan,Cytostatic_Intercalator,"ABCB11,ADORA2A,AGTR2,AR,BDKRB2,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,GBA,HIF1A,HMGCR,LCK,MAPK1,MAPK14,MAPK3,NFE2L2,NFKB1,OPRK1,PPARG,PTPRC,RORC,RXRA,SMAD3,TDP1,TP53,USP1,VDR",CHEMBL
Methotrexate,DHFRi,"ABCB1,ABCB11,ABCG2,ADORA2A,AGTR2,APEX1,ATAD5,ATIC,BDKRB2,BLM,CASP7,CBFB,CYP2D6,DHFR,EGFR,ELANE,ERBB2,ERG,ESR1,ESR2,FEN1,FLT1,HMGB1,HMGCR,IDH1,KAT2A,KDM4A,KMT2A,LCK,LMNA,MAPK1,MAPK14,MAPK3,MBNL1,MEN1,MMP2,MMP7,NCOA1,NCOA3,NFE2L2,OPRK1,PABPC1,PIN1,POLB,POLH,POLI,POLK,PPARG,PTPRC,RFC1,RUNX1,RXRA,TDP1,TP53,TSHR,TYMS,USP1,VDR,WRN",CHEMBL
Mitomycin,Cytostatic_Antibiotic,"ABCB1,ADORA2A,AGTR2,APEX1,BDKRB2,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,GNAS,HMGCR,IDH1,IDO1,LCK,MAPK1,MAPK14,MAPK3,NFE2L2,OPRK1,POLI,POLK,PTPRC,SMAD3,TDP1",CHEMBL
NSC348884,NPMi,NPM1,CHEMBL
Nutlin,MDM2i,"BCL2,DAPK1,HDAC1,HIF1A,MCL1,MDM2,MDM4,TP53,VDR,YES1",CHEMBL
OSI027,mTORi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ARAF,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2G,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK9,CHD4,CHEK1,CIT,CLK2,CSNK1D,CSNK1E,CSNK1G3,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,FES,FGFR1,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,LATS1,LCK,LYN,MAP2K1,MAP2K2,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,NAT10,NEK2,NLK,NTRK1,PAK4,PDGFRB,PEBP1,PIM1,PIM2,PKMYT1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKCZ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC1A,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TYK2,WEE1,YES1",CHEMBL
Olaparib,PARPi,"HDAC1,PARP1,PARP2,PARP3,PARP4,TNKS,TNKS2",CHEMBL
Oxaliplatin,Cytostatic_Platinumanalogue,"ADORA2A,AGTR2,BDKRB2,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FLT1,HMGCR,LCK,MAPK1,MAPK14,MAPK3,OPRK1,PTPRC,TDP1",CHEMBL
PD0332991_Palbociclib,CDKi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2A,CAMK2G,CCNA1,CCNA2,CCNB1,CCND1,CCND2,CCND3,CCNE1,CCNH,CDC7,CDK1,CDK12,CDK2,CDK20,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CHEK1,CIT,CLK2,CLK3,CSF1R,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLG,FLT1,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,JAK2,JAK3,KDR,LATS1,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,MET,MNAT1,NAT10,NEK2,NLK,NTRK1,NTRK2,NTRK3,PAK4,PDGFRA,PDGFRB,PIK3CD,PIM1,PIM2,PKMYT1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TYK2,TYRO3,WEE1,YES1",CHEMBL
PF04217903,METi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2B,AKT1,AKT2,AKT3,ALK,ARAF,ATR,AURKA,AURKB,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,CAMK2A,CAMK2G,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CHD4,CHEK1,CIT,CLK2,CLK3,CSF1R,CSNK1D,CSNK1E,CSNK1G3,CYP2D6,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,EGFR,EIF2AK1,EPHA2,EPHA4,EPHA5,EPHA7,EPHB6,ERCC2,FES,FGFR1,FLG,FLT1,FLT3,GSK3B,IGF1R,IKBKE,INSR,IRAK1,IRAK4,JAK1,JAK2,JAK3,KDR,LATS1,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MCM4,MET,NAT10,NEK2,NEK7,NLK,NTRK1,NTRK2,NTRK3,PAK4,PDE10A,PDE1C,PDE4B,PDGFRA,PDGFRB,PEBP1,PIM1,PIM2,PKMYT1,PLK1,PLK4,PRKAA1,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKCZ,PRKD2,PTK2B,PTK6,RAN,RET,ROCK1,ROCK2,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SMC2,SRC,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TNIK,TOP2A,TOP2B,TTK,TYK2,TYRO3,WEE1,YES1",CHEMBL
PLX647,FMSi_KITi,"CSF1R,KIT",CHEMBL
Paclitaxel,Cytostatic_Tubulini_BCL2i,"ABCB1,ABCB11,ABL1,ADORA2A,AGTR2,AR,ATAD5,BCL2,BCL2L1,BDKRB2,BLM,CYP2D6,EGFR,ELANE,ERBB2,ESR1,ESR2,FGFR1,FLT1,HIF1A,HMGCR,HSP90AA1,HSPE1,IDH1,KMT2A,LCK,LMNA,MAPK1,MAPK14,MAPK3,MEN1,MTOR,NFE2L2,OPRK1,PIN1,PPARG,PTPRC,RECQL,RXRA,SMAD3,SNCA,SRC,TDP1,TK1,TP53,TUBA1A,TUBA4A,TUBB4B,USP1,VDR",CHEMBL
Pomalidomide,CRBNi,"ABCB11,BRD4,CDK6,CUL4A,DDB1,IKZF1,IKZF3,NFKB1,NFKB2,PDE4B,RBX1,RELA",CHEMBL
Purvalanol,CDKi,"ABL1,ABL2,ACVR1B,AKT1,AKT2,AKT3,ALK,APEX1,AURKA,AURKB,AXL,BRSK2,CAMK2G,CAMKK1,CCNA1,CCNA2,CCNB1,CCNB2,CCNB3,CCND1,CCND3,CCNE1,CCNE2,CCNH,CDK1,CDK12,CDK2,CDK20,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CHEK1,CHEK2,CLK2,CLK3,CSF1R,CSNK1D,CSNK1G3,CSNK2A1,CYP2D6,DAPK1,DDR2,DMPK,DYRK2,EGFR,EPHA2,EPHA3,EPHA4,EPHA5,EPHA7,EPHB1,ERBB4,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GBA,GSK3B,HIF1A,HIPK2,IGF1R,INSR,INSRR,IRAK1,IRAK4,ITK,JAK2,JAK3,KDR,KIT,KMT2A,LCK,LYN,MAP2K1,MAP2K7,MAP3K5,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MEN1,MET,MTOR,NEK2,NEK6,NEK7,NLK,NTRK1,NTRK2,PAK3,PAK4,PDGFRA,PDGFRB,PDPK1,PIM1,PIM2,PIM3,PLK1,PRKAA1,PRKAA2,PRKAB1,PRKAG2,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RET,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK1,SGK2,SGK3,SRC,SRPK2,STAT6,STK11,STK3,STK4,SYK,TAOK1,TAOK2,TAOK3,TDP1,TGFBR1,TLK2,TP53,TSHR,TYRO3,USP1,YES1",CHEMBL
RO3306,CDKi,"AKT1,AKT2,AKT3,AURKA,AURKB,CCNA2,CCNB1,CCND1,CCNE1,CCNH,CDK1,CDK12,CDK2,CDK20,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,GSK3B,MAPK1,MNAT1,PRKCD,RPS6KA3",CHEMBL
Roscovitine_Seliciclib,CDKi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,ATAD5,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CCNA1,CCNA2,CCNB1,CCNB2,CCNB3,CCND1,CCND3,CCNE1,CCNE2,CCNH,CDK1,CDK12,CDK2,CDK20,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,CYP2D6,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX42,DDX6,DMPK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLT1,FLT3,FLT4,GSK3B,HDAC1,HIF1A,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KAT2A,KDR,KIT,LATS1,LATS2,LCK,LMNA,LYN,MAP2K1,MAP2K2,MAP2K4,MAP3K1,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MATK,MCM4,MET,MNAT1,MYO3B,NAT10,NEK2,NEK4,NEK6,NEK7,NFE2L2,NFKB1,NLK,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PBK,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3CA,PIK3R1,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RB1,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK1,SGK2,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TDP1,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2A,TOP2B,TP53,TSHR,TTK,TYK2,TYRO3,VRK1,WEE1,YES1",CHEMBL
Ruxolitinib,JAKi,"ABL1,ABL2,ACAD10,ACTR2,ACTR3,ACVR1B,ACVR2A,ACVR2B,ACVRL1,AKT1,AKT2,AKT3,ALK,ARAF,AURKA,AURKB,AXL,BCR,BMP2K,BMPR1A,BMPR1B,BRAF,BRSK2,CAMK2A,CAMK2G,CAMKK1,CASK,CDC7,CDK1,CDK12,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,CDKL2,CHD4,CHEK1,CHEK2,CIT,CLK2,CLK3,CSF1R,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G3,CSNK2A1,DAPK1,DCK,DDR1,DDR2,DDX3X,DDX6,DMPK,DSTYK,DYRK2,EGFR,EIF2AK1,EIF2AK4,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHB1,EPHB6,ERBB2,ERBB3,ERBB4,ERCC2,FES,FGFR1,FGFR2,FGFR3,FGFR4,FLG,FLT1,FLT3,FLT4,GSK3B,HDAC1,HDAC2,HIPK2,IGF1R,IKBKE,INSR,INSRR,IRAK1,IRAK4,ITK,JAK1,JAK2,JAK3,KDR,KIT,LATS1,LATS2,LCK,LRRK2,LYN,MAP2K1,MAP2K2,MAP2K4,MAP2K7,MAP3K1,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K7,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK14,MAPK15,MAPK3,MAPK8,MAPK9,MAPKAPK5,MARK3,MARK4,MAST1,MATK,MCM4,MET,MTOR,MYO3B,NAT10,NEK2,NEK4,NEK6,NEK7,NLK,NR1H2,NTRK1,NTRK2,NTRK3,PAK1,PAK3,PAK4,PDGFRA,PDGFRB,PDPK1,PEBP1,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIM1,PIM2,PIM3,PIP4K2B,PIP5K1A,PKMYT1,PLK1,PLK4,PRKAA1,PRKAA2,PRKAG2,PRKAR2A,PRKCD,PRKCI,PRKCQ,PRKD1,PRKD2,PTK2B,PTK6,RAF1,RAN,RET,RIOK3,RIPK1,ROCK1,ROCK2,ROS1,RPS6KA1,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RPS6KB1,SGK3,SMC1A,SMC2,SRC,SRPK2,STK11,STK16,STK3,STK4,STRADA,SYK,TAOK1,TAOK2,TAOK3,TGFBR1,TGFBR2,TLK1,TLK2,TNIK,TOP2B,TTK,TYK2,TYRO3,WEE1,YES1",CHEMBL
